Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,rad(m)
2020-01-01,25.2,32.0,27.0,82.0,16.5,6.5,7.0,300.0,3.0,W ,-0.1013384294649061
2020-01-02,25.6,31.0,27.9,78.0,5.2,3.5,8.0,270.0,4.0,W ,-0.0809590277777777
2020-01-03,25.3,31.5,27.6,82.0,1.5,5.9,10.0,280.0,6.0,W ,-0.0381722222222222
2020-01-05,25.6,31.3,28.6,81.0,8.1,8.0,260.0,6.0,3.1337480559875583,,-0.0071693245518537
2020-01-06,25.5,30.6,27.8,80.0,7.5,6.6,7.0,260.0,6.0,W ,-0.0274368055555555
2020-01-07,26.4,30.6,28.3,79.0,6.2,5.0,7.0,290.0,6.0,W ,-0.0187347222222222
2020-01-08,26.3,31.1,29.0,76.0,1.6,6.8,7.0,290.0,5.0,W ,-0.0183444444444444
2020-01-09,26.8,31.2,28.7,76.0,8888.0,8.5,9.0,300.0,4.0,W ,0.105324534769769
2020-01-10,26.5,31.0,28.7,72.0,0.0,6.0,260.0,4.0,3.1337480559875583,,0.0228456697725437
2020-01-11,27.0,31.4,27.9,82.0,8888.0,12.3,9.0,280.0,6.0,W ,-0.0197430555555555
2020-01-13,24.5,31.2,28.0,79.0,13.7,8.4,9.0,260.0,6.0,W ,0.0321069444444444
2020-01-14,25.2,32.0,28.9,75.0,8888.0,8.7,5.0,250.0,2.0,E ,0.0648820761762144
2020-01-15,26.8,32.5,28.7,78.0,0.0,10.0,5.0,250.0,2.0,SW,0.0441520833333333
2020-01-16,25.9,32.0,28.5,78.0,4.8,8.6,6.0,270.0,3.0,W ,0.0063918809945081
2020-01-17,24.0,31.0,28.3,79.0,12.9,11.2,5.0,250.0,3.0,W ,-0.0015354166666666
2020-01-18,25.6,30.8,28.6,74.0,0.0,12.0,5.0,280.0,3.0,W ,0.0114027777777777
2020-01-19,26.8,31.2,29.2,72.0,0.8,12.1,6.0,260.0,3.0,W ,0.061327321713482
2020-01-20,25.2,31.2,27.7,81.0,6.0,260.0,4.0,,3.1337480559875583,,0.0043862438987354
2020-01-21,25.2,29.3,27.7,81.0,12.3,5.0,300.0,4.0,3.1337480559875583,,-0.007871763576244
2020-01-22,27.0,32.0,29.7,71.0,0.0,7.2,6.0,250.0,2.0,W ,-0.0363805555555555
2020-01-23,26.2,32.6,29.3,77.0,12.2,11.3,5.0,250.0,2.0,W ,-0.01570625
2020-01-24,26.0,32.4,29.2,73.0,0.0,12.0,4.0,120.0,2.0,E ,-0.0328076388888888
2020-01-25,25.8,32.9,29.5,73.0,8888.0,11.1,4.0,90.0,2.0,E ,-0.0564048611111111
2020-01-26,26.6,32.6,29.3,74.0,0.0,5.0,260.0,2.0,3.1337480559875583,,-0.0533388888888888
2020-01-27,26.6,32.8,29.3,73.0,8.2,4.0,90.0,2.0,3.1337480559875583,,-0.0848256944444444
2020-01-28,26.8,33.6,29.3,76.0,0.0,8.1,4.0,90.0,2.0,E ,-0.0764562499999999
2020-01-29,26.5,32.8,29.6,77.0,7.8,7.0,300.0,3.0,3.1337480559875583,,-0.0731743055555555
2020-01-30,26.0,30.7,27.0,88.0,7.1,11.8,8.0,250.0,4.0,NW,-0.0566445858758956
2020-01-31,24.6,32.0,28.5,75.0,17.8,1.2,7.0,280.0,4.0,W ,-0.0489347222222222
2020-02-01,26.8,32.2,28.2,80.0,8888.0,7.6,5.0,240.0,2.0,W ,-0.0189472222222226
2020-02-02,25.4,32.1,28.3,78.0,8888.0,7.4,5.0,110.0,2.0,E ,-0.034772916666667
2020-02-03,25.8,32.2,28.7,76.0,0.0,10.3,5.0,110.0,2.0,E ,-0.0266944444444448
2020-02-04,25.8,32.4,28.6,74.0,0.0,11.2,5.0,260.0,2.0,W ,-0.0629555555555559
2020-02-05,25.2,31.8,28.4,76.0,0.0,11.8,5.0,270.0,4.0,W ,-0.0147784722222226
2020-02-06,25.2,31.9,28.5,81.0,27.2,11.5,6.0,270.0,4.0,W ,0.0130423611111106
2020-02-07,26.1,31.9,29.0,77.0,1.3,8.3,8.0,330.0,3.0,W ,0.0429145833333329
2020-02-08,25.8,32.0,29.2,75.0,1.6,5.8,7.0,290.0,3.0,W ,0.0620138888888884
2020-02-09,24.5,30.1,25.6,90.0,22.1,4.2,10.0,270.0,5.0,W ,0.0387215277777773
2020-02-10,24.3,31.0,29.0,75.0,39.8,0.0,7.0,280.0,4.0,W ,0.0661208333333328
2020-02-11,25.6,31.4,27.7,75.0,0.5,8.7,6.0,260.0,2.0,N ,0.0809680555555551
2020-02-12,25.6,31.7,28.2,78.0,0.0,9.2,4.0,110.0,2.0,E ,0.0876430555555551
2020-02-13,25.4,32.6,28.7,78.0,7.1,6.2,4.0,250.0,2.0,E ,0.0930111111111106
2020-02-14,25.4,32.0,28.2,77.0,8888.0,9.6,4.0,90.0,2.0,E ,0.0668374999999995
2020-02-15,26.9,32.0,28.8,79.0,0.0,8.1,6.0,300.0,3.0,E ,0.0518749999999995
2020-02-16,24.0,31.6,27.6,82.0,17.3,9.1,5.0,260.0,2.0,W ,0.035350694444444
2020-02-17,24.0,30.6,27.4,81.0,4.0,9.0,8.0,250.0,4.0,W ,-0.0145375000000004
2020-02-18,26.5,30.7,28.7,75.0,0.0,5.0,5.0,270.0,3.0,W ,-0.0082277777777782
2020-02-19,24.8,31.1,28.1,78.0,1.2,5.1,6.0,260.0,4.0,W ,0.0047048611111106
2020-02-20,25.4,31.6,28.4,78.0,7.7,7.4,5.0,250.0,3.0,W ,0.0132249999999995
2020-02-21,25.5,31.1,28.6,81.0,6.7,2.1,6.0,310.0,4.0,W ,0.0117576388888884
2020-02-22,24.8,31.4,27.7,81.0,10.0,290.0,5.0,,3.1337480559875583,,0.0403243055555551
2020-02-23,26.5,31.2,28.6,78.0,1.2,9.3,5.0,300.0,3.0,W ,0.0333555555555551
2020-02-24,25.3,32.0,28.7,80.0,3.2,11.6,4.0,260.0,2.0,W ,0.0581895214951349
2020-02-25,25.5,32.0,28.9,84.0,0.3,11.9,7.0,300.0,2.0,W ,0.0057490371751051
2020-02-26,24.8,31.2,27.8,86.0,51.0,9.5,7.0,280.0,4.0,W ,0.0298611111111106
2020-02-27,25.8,32.1,28.8,79.0,1.5,2.0,5.0,260.0,2.0,W ,0.0635374999999995
2020-02-28,26.8,32.4,28.9,81.0,0.0,8.8,8.0,240.0,5.0,W ,0.064544444444444
2020-02-29,27.1,31.8,27.7,81.0,7.0,260.0,4.0,,3.1337480559875583,,0.0513791666666662
2020-03-01,26.6,31.1,27.4,88.0,1.5,7.7,6.0,240.0,3.0,N ,0.0110159722222224
2020-03-02,25.1,32.8,28.5,80.0,15.5,5.9,4.0,260.0,2.0,NE,0.0023965277777779
2020-03-03,26.2,32.2,28.6,80.0,0.0,9.6,6.0,230.0,4.0,W ,-0.0188729166666664
2020-03-04,24.5,30.0,26.7,88.0,44.6,7.4,5.0,270.0,3.0,NW,-0.015840972222222
2020-03-05,24.0,31.5,27.7,81.0,7.0,260.0,4.0,,3.1337480559875583,,-0.01254694838499
2020-03-06,24.6,30.7,28.3,81.0,1.2,8.1,8.0,270.0,3.0,W ,0.0049693886758796
2020-03-07,25.2,31.5,26.7,85.0,21.1,1.2,5.0,260.0,2.0,NE,0.0120590277777779
2020-03-08,24.7,30.5,26.8,89.0,57.8,7.9,5.0,40.0,2.0,E ,0.070951388888889
2020-03-09,25.6,31.2,27.0,86.0,1.9,2.8,10.0,260.0,6.0,W ,0.0776256944444446
2020-03-10,25.6,31.6,28.0,84.0,4.3,3.9,6.0,260.0,3.0,W ,0.1306738373681832
2020-03-11,25.0,32.3,28.7,83.0,3.0,8.8,5.0,250.0,2.0,E ,0.0957305555555557
2020-03-12,25.1,32.4,27.8,88.0,32.3,9.0,4.0,360.0,2.0,N ,0.0564437500000002
2020-03-13,25.8,32.4,28.7,80.0,0.2,4.1,6.0,320.0,3.0,N ,0.0478291666666668
2020-03-14,23.6,31.5,27.3,84.0,31.9,6.0,5.0,270.0,2.0,W ,0.0542194444444446
2020-03-15,25.9,32.1,28.7,80.0,0.0,4.9,15.0,40.0,2.0,S ,0.0110619786761382
2020-03-16,24.0,32.0,28.4,83.0,0.7,7.5,4.0,130.0,2.0,NE,-0.0094444444444442
2020-03-17,25.6,31.6,28.3,81.0,0.0,10.0,5.0,110.0,3.0,E ,0.0275104166666668
2020-03-18,25.3,31.8,27.9,82.0,0.0,11.3,4.0,100.0,2.0,E ,0.0224237440765764
2020-03-19,25.2,32.1,28.2,78.0,0.0,8.4,5.0,110.0,2.0,E ,0.0273618055555557
2020-03-20,25.3,32.6,28.5,74.0,0.0,7.8,4.0,110.0,2.0,E ,0.0312041666666668
2020-03-21,25.8,31.8,28.5,79.0,0.0,11.1,4.0,260.0,2.0,NE,0.0242333333333335
2020-03-22,25.5,31.8,28.2,76.0,8888.0,6.0,4.0,120.0,2.0,E ,-0.0102684297204376
2020-03-23,25.6,31.8,28.0,82.0,0.0,7.1,4.0,310.0,2.0,NE,0.0365840670912849
2020-03-24,24.4,31.6,27.6,84.0,16.6,5.9,5.0,110.0,2.0,E ,-0.0222499999999997
2020-03-25,24.8,32.0,27.8,82.0,0.0,8.6,4.0,120.0,3.0,E ,-0.0189819444444442
2020-03-26,25.4,32.2,28.9,78.0,0.0,11.0,4.0,110.0,2.0,E ,-0.0076423611111109
2020-03-27,26.6,30.0,28.0,87.0,9.8,11.0,5.0,270.0,2.0,W ,-0.0163451388888886
2020-03-28,26.0,28.3,27.7,81.0,3.6,4.0,110.0,2.0,3.1337480559875583,,-0.0606013888888886
2020-03-29,26.2,31.6,28.2,84.0,0.0,10.0,4.0,110.0,2.0,E ,-0.045073913043478
2020-03-30,25.8,31.9,28.4,80.0,0.0,10.3,6.0,130.0,2.0,E ,-0.0497340277777775
2020-03-31,25.2,28.4,27.7,81.0,10.9,5.0,90.0,2.0,3.1337480559875583,,-0.0230622930599077
2020-04-01,25.3,31.7,28.0,78.0,0.0,10.1,5.0,130.0,2.0,E ,-0.0656126300080468
2020-04-02,25.4,31.9,28.3,80.0,0.0,8.2,5.0,110.0,3.0,SE,-0.0193673611111115
2020-04-03,25.5,32.1,29.0,80.0,0.0,10.5,4.0,110.0,2.0,E ,-0.0037679987095833
2020-04-04,26.4,31.8,28.5,86.0,8.1,4.0,130.0,2.0,3.1337480559875583,,-0.024272916666667
2020-04-05,26.2,31.4,28.4,82.0,0.0,7.8,5.0,260.0,2.0,E ,0.0031173611111106
2020-04-06,25.3,30.8,28.0,86.0,6.6,3.6,6.0,320.0,2.0,W ,0.0317402777777773
2020-04-07,25.3,32.3,28.0,81.0,0.0,3.8,4.0,130.0,2.0,E ,0.0430326388888884
2020-04-08,25.3,31.4,28.3,80.0,0.0,7.9,4.0,110.0,2.0,E ,0.011531944444444
2020-04-09,25.3,32.2,28.3,78.0,0.0,8.6,4.0,100.0,2.0,SE,0.0119013888888884
2020-04-10,25.5,32.2,28.5,81.0,0.0,5.0,140.0,2.0,3.1337480559875583,,0.0102597222222217
2020-04-11,25.2,31.1,27.3,82.0,6.2,11.0,5.0,100.0,2.0,E ,0.0269379246353643
2020-04-12,24.6,31.2,27.5,76.0,0.8,7.4,3.0,340.0,2.0,SE,0.0279888888888884
2020-04-13,24.1,32.2,27.7,74.0,6.6,3.0,90.0,2.0,3.1337480559875583,,0.0849763888888884
2020-04-14,25.2,28.2,27.7,81.0,8.4,4.0,110.0,2.0,3.1337480559875583,,0.077781944444444
2020-04-15,25.0,32.9,28.4,85.0,0.0,8.3,4.0,270.0,2.0,E ,0.0360062499999995
2020-04-16,24.4,32.6,28.4,83.0,10.7,0.0,4.0,140.0,2.0,SE,0.0249284722222217
2020-04-17,25.7,31.6,28.6,84.0,1.0,6.5,5.0,90.0,2.0,E ,0.0238152777777773
2020-04-18,26.0,32.8,28.6,83.0,0.0,7.2,3.0,100.0,1.0,E ,0.0426055555555551
2020-04-19,26.2,32.2,27.7,84.0,1.1,8.1,4.0,260.0,1.0,NE,0.0233701388888884
2020-04-20,25.0,32.0,28.1,84.0,37.0,7.2,4.0,130.0,2.0,SE,0.0043659722222218
2020-04-21,23.5,31.8,28.2,80.0,0.0,10.4,5.0,120.0,3.0,SE,0.004863194444444
2020-04-22,25.1,32.4,28.2,79.0,0.0,10.7,6.0,100.0,3.0,SE,-0.0114972222222226
2020-04-23,25.4,31.8,28.2,84.0,0.0,10.8,8.0,120.0,4.0,SE,0.0093937499999995
2020-04-24,25.2,31.5,29.2,79.0,0.0,11.0,5.0,130.0,3.0,SE,-0.0040173611111115
2020-04-25,26.0,30.7,28.1,83.0,0.0,10.4,5.0,130.0,2.0,E ,-0.0383840277777782
2020-04-26,25.2,31.3,28.1,86.0,0.0,3.0,6.0,130.0,4.0,SE,-0.0455361111111115
2020-04-27,25.1,30.8,27.8,85.0,4.8,10.0,5.0,120.0,3.0,SE,-0.0689465277777782
2020-04-28,25.6,31.0,27.6,85.0,0.0,9.3,4.0,110.0,2.0,E ,-0.0552388888888893
2020-04-29,24.7,31.1,27.2,84.0,0.0,9.3,5.0,130.0,3.0,SE,-0.0486013888888893
2020-04-30,25.4,30.8,28.5,80.0,0.0,10.7,5.0,110.0,3.0,E ,-0.033416666666667
2020-05-01,25.0,30.6,27.5,77.0,0.0,7.4,5.0,130.0,3.0,SE,-0.1181986111111111
2020-05-02,24.5,31.2,28.0,74.0,0.0,9.8,8.0,110.0,4.0,SE,-0.1149409722222223
2020-05-03,25.4,31.5,27.8,76.0,1.0,10.6,7.0,110.0,4.0,E ,-0.1044458333333334
2020-05-04,26.7,31.4,28.5,75.0,0.0,9.1,7.0,120.0,5.0,SE,-0.1154210508025782
2020-05-05,26.8,31.2,28.9,77.0,10.6,7.0,100.0,4.0,3.1337480559875583,,-0.1588597222222222
2020-05-06,26.9,31.6,28.5,81.0,0.0,10.5,5.0,110.0,2.0,E ,-0.1684111111111111
2020-05-07,25.6,31.8,28.1,85.0,0.0,10.4,5.0,130.0,2.0,E ,-0.1488951388888889
2020-05-08,26.0,31.2,28.2,83.0,0.0,9.5,6.0,130.0,3.0,SE,-0.129325
2020-05-09,24.3,30.4,27.3,87.0,32.8,10.0,5.0,110.0,3.0,SE,-0.1027097222222222
2020-05-10,24.6,31.4,27.4,84.0,0.0,8.5,5.0,120.0,3.0,E ,-0.0768013888888889
2020-05-11,25.2,30.5,27.3,81.0,0.0,9.0,5.0,130.0,3.0,SE,-0.0826965277777778
2020-05-12,25.1,30.2,27.2,86.0,0.0,10.6,5.0,130.0,3.0,SE,-0.0425723187436359
2020-05-13,25.3,30.4,27.4,87.0,8888.0,10.8,12.0,120.0,6.0,SE,-0.0092694444444445
2020-05-14,25.8,30.2,27.4,84.0,1.5,10.3,7.0,130.0,4.0,SE,-0.0167569444444445
2020-05-15,26.2,30.2,28.0,88.0,0.0,7.1,6.0,140.0,4.0,SE,0.007998611111111
2020-05-16,26.8,30.3,28.4,88.0,0.1,8.3,6.0,120.0,5.0,SE,0.0255784722222221
2020-05-17,27.6,30.7,28.7,84.0,9.1,6.0,110.0,5.0,3.1337480559875583,,0.0071652777777777
2020-05-18,27.3,30.6,27.7,81.0,6.0,130.0,2.0,,3.1337480559875583,,-0.0033090277777778
2020-05-19,25.4,30.8,28.1,87.0,0.8,4.1,6.0,150.0,2.0,SE,-0.0230694444444445
2020-05-20,25.4,29.6,27.0,88.0,0.9,3.2,7.0,120.0,4.0,SE,-0.0026854166666667
2020-05-21,26.0,29.8,27.6,89.0,0.5,6.0,5.0,260.0,2.0,E ,-0.0731125
2020-05-22,25.0,30.8,28.0,81.0,13.9,1.2,4.0,280.0,2.0,W ,-0.0092638888888889
2020-05-23,25.4,31.0,27.7,86.0,3.6,9.0,5.0,260.0,2.0,W ,-0.0349450926144249
2020-05-24,21.9,30.8,28.1,91.0,0.0,8.4,5.0,280.0,2.0,W ,-0.0135944444444445
2020-05-25,25.8,30.8,28.3,83.0,8888.0,9.1,4.0,260.0,2.0,W ,0.0391190188838329
2020-05-26,25.0,32.1,27.8,82.0,0.0,8.0,5.0,260.0,2.0,SW,0.1584409722222221
2020-05-27,25.0,29.5,26.8,89.0,9.1,8.8,3.0,240.0,1.0,E ,0.2463381707668536
2020-05-29,24.2,30.4,26.8,88.0,6.7,3.2,4.0,250.0,2.0,E ,0.2547416666666666
2020-06-03,25.5,32.0,28.7,80.0,1.8,10.6,5.0,120.0,4.0,SE,0.1982631944444449
2020-06-04,24.8,30.3,27.2,88.0,3.5,10.2,8.0,80.0,6.0,SE,0.1733569444444448
2020-06-05,25.2,27.5,27.7,81.0,5.0,8.0,130.0,5.0,3.1337480559875583,,0.1213243055555559
2020-06-06,25.1,30.1,28.2,86.0,9.5,3.9,5.0,110.0,3.0,SE,0.1106375000000004
2020-06-07,24.8,30.3,27.1,83.0,9.3,5.0,130.0,3.0,3.1337480559875583,,0.0798076388888893
2020-06-08,26.4,30.0,27.4,72.0,0.0,8.0,4.0,120.0,2.0,SE,0.0558520833333337
2020-06-09,22.6,30.2,26.0,76.0,0.0,10.5,4.0,110.0,2.0,E ,0.0451726331382448
2020-06-10,22.8,29.9,25.8,82.0,0.0,10.6,4.0,120.0,2.0,E ,0.0269881944444448
2020-06-11,22.8,31.2,26.3,77.0,10.6,4.0,90.0,2.0,3.1337480559875583,,0.0642638888888893
2020-06-12,22.6,30.3,27.7,81.0,4.0,110.0,3.0,,3.1337480559875583,,0.0782201388888893
2020-06-13,25.2,27.1,27.7,81.0,10.7,6.0,100.0,4.0,3.1337480559875583,,0.0636977578951267
2020-06-14,25.2,30.5,28.4,86.0,1.7,7.0,7.0,100.0,4.0,SE,0.0292275022351203
2020-06-15,26.8,30.6,28.6,83.0,7.6,7.5,6.0,120.0,4.0,E ,-0.0081558209790829
2020-06-16,25.4,30.4,27.3,80.0,8888.0,8.8,6.0,110.0,4.0,E ,-0.0233659722222217
2020-06-17,26.4,30.4,28.1,85.0,0.0,9.1,7.0,110.0,5.0,SE,-0.0524001475087762
2020-06-18,26.6,30.2,28.4,80.0,3.7,7.8,7.0,110.0,6.0,SE,-0.0767356119198495
2020-06-19,27.2,30.2,28.3,74.0,0.0,9.6,7.0,130.0,5.0,SE,-0.1634143575644488
2020-06-20,26.0,30.0,27.9,84.0,0.1,8.8,6.0,120.0,4.0,SE,-0.1700999999999995
2020-06-21,27.0,30.0,28.0,79.0,8888.0,7.2,7.0,130.0,4.0,SE,-0.1696749999999996
2020-06-22,25.2,27.5,27.7,81.0,7.5,5.0,120.0,4.0,3.1337480559875583,,-0.2167749999999995
2020-06-23,26.2,29.8,27.6,80.0,9.6,5.0,120.0,4.0,3.1337480559875583,,-0.2027479166666662
2020-06-24,26.0,29.1,27.3,80.0,0.0,10.3,6.0,110.0,4.0,E ,-0.1937098279477241
2020-06-25,24.6,29.0,26.9,77.0,0.0,9.9,8.0,120.0,4.0,SE,-0.1736631380522537
2020-06-26,21.5,29.8,27.1,80.0,0.0,9.6,5.0,110.0,2.0,E ,-0.1348333333333329
2020-06-27,22.4,29.6,25.4,82.0,10.7,5.0,100.0,3.0,3.1337480559875583,,-0.119156944444444
2020-06-28,23.7,29.7,26.8,85.0,0.3,10.3,5.0,120.0,4.0,E ,-0.1089076388888884
2020-06-29,25.8,29.2,26.9,84.0,8888.0,6.6,5.0,110.0,4.0,SE,-0.0745847222222218
2020-06-30,25.9,29.3,27.3,77.0,1.0,7.3,6.0,120.0,4.0,SE,-0.0719624999999995
2020-07-01,26.4,29.6,27.3,78.0,0.0,9.0,6.0,130.0,4.0,SE,0.0739493055555559
2020-07-02,26.2,29.4,27.2,76.0,0.0,9.0,5.0,110.0,3.0,SE,0.0337197258632205
2020-07-03,23.9,29.2,26.0,80.0,0.0,9.7,6.0,120.0,5.0,SE,0.0228715277777781
2020-07-04,26.2,29.5,27.3,79.0,0.0,9.4,6.0,120.0,4.0,SE,0.0348708333333336
2020-07-05,25.0,30.0,26.6,88.0,0.5,9.8,13.0,120.0,5.0,SE,0.0157437500000003
2020-07-06,25.1,29.4,27.4,82.0,0.0,4.9,10.0,120.0,5.0,SE,0.03272878509667
2020-07-08,26.0,29.3,27.1,80.0,0.0,7.0,130.0,5.0,3.1337480559875583,,0.1111298611111114
2020-07-09,26.0,29.3,27.0,80.0,8888.0,6.0,7.0,110.0,4.0,SE,0.111891666666667
2020-07-10,27.2,30.6,27.7,81.0,6.0,110.0,4.0,,3.1337480559875583,,0.1122944444444447
2020-07-11,26.0,29.5,27.1,78.0,0.0,9.4,7.0,120.0,5.0,SE,0.0879201388888892
2020-07-12,26.0,29.4,27.0,78.0,0.0,5.8,5.0,120.0,4.0,E ,0.0691368055555559
2020-07-13,25.2,29.6,27.0,81.0,10.3,5.0,130.0,4.0,3.1337480559875583,,0.0501590277777781
2020-07-14,25.0,29.2,27.3,82.0,8888.0,8.5,6.0,120.0,5.0,SE,0.0544722222222225
2020-07-15,26.4,27.0,27.7,81.0,9.1,8.0,110.0,6.0,3.1337480559875583,,0.0396145833333336
2020-07-16,25.8,29.2,26.8,73.0,0.0,10.0,9.0,120.0,4.0,SE,0.005141666666667
2020-07-17,25.2,25.9,27.7,81.0,6.0,120.0,4.0,,3.1337480559875583,,-0.0116958333333329
2020-07-18,25.3,29.7,27.1,79.0,0.0,10.5,5.0,120.0,4.0,SE,0.0166122244499393
2020-07-19,27.3,30.6,27.7,81.0,140.0,4.0,,,3.1337480559875583,,-0.0090909722222218
2020-07-20,26.0,30.2,27.0,84.0,5.7,3.0,5.0,120.0,4.0,SE,-0.0049109361576853
2020-07-21,25.2,26.8,27.7,81.0,8.7,8.0,110.0,5.0,3.1337480559875583,,-0.0021284722222218
2020-07-22,25.6,29.2,26.9,79.0,0.0,2.0,5.0,110.0,4.0,SE,0.0199569444444447
2020-07-23,25.8,28.6,26.7,79.0,0.0,10.6,8.0,110.0,5.0,SE,0.0305625000000003
2020-07-25,24.8,28.7,26.1,69.0,0.0,10.5,7.0,110.0,4.0,SE,0.0153048611111114
2020-07-26,24.8,28.9,26.0,71.0,0.0,10.5,5.0,130.0,4.0,SE,-0.0762451388888885
2020-07-28,25.8,28.9,26.6,81.0,0.0,10.0,6.0,130.0,4.0,SE,-0.1059541666666663
2020-07-29,24.0,28.6,26.7,64.0,9.5,7.0,120.0,4.0,3.1337480559875583,,-0.1613736111111107
2020-07-30,24.2,28.6,27.3,80.0,0.0,10.2,6.0,130.0,4.0,SE,-0.2044159722222218
2020-07-31,25.0,29.8,26.3,75.0,8888.0,9.1,7.0,120.0,4.0,SE,-0.2256798352872046
2020-08-01,23.5,28.6,26.2,72.0,0.3,10.5,6.0,130.0,4.0,SE,-0.2209590277777781
2020-08-02,21.3,28.8,24.2,78.0,0.0,9.3,5.0,120.0,2.0,SE,-0.2049687500000003
2020-08-03,21.4,29.2,24.8,82.0,0.0,10.2,4.0,120.0,3.0,SE,-0.1890000000000003
2020-08-04,22.4,28.0,25.8,78.0,6.5,8.0,100.0,4.0,3.1337480559875583,,-0.1465284722222225
2020-08-05,24.9,28.5,25.8,82.0,0.0,4.7,6.0,120.0,4.0,SE,-0.1560006944444447
2020-08-06,24.1,28.5,25.7,77.0,8888.0,4.8,5.0,120.0,4.0,E ,-0.1210694444444447
2020-08-08,24.8,28.4,25.8,83.0,0.0,7.9,7.0,110.0,4.0,SE,-0.1004555555555558
2020-08-09,23.2,29.2,25.7,84.0,0.0,9.8,5.0,120.0,3.0,SE,-0.1271930555555558
2020-08-10,23.3,30.4,26.0,88.0,10.2,5.0,110.0,2.0,3.1337480559875583,,-0.1094520833333336
2020-08-11,23.5,30.1,27.2,84.0,0.0,9.0,5.0,140.0,3.0,SE,-0.0692770833333336
2020-08-12,25.4,30.4,27.0,86.0,7.7,5.0,130.0,4.0,3.1337480559875583,,-0.0175145833333336
2020-08-13,25.5,30.1,27.2,83.0,0.0,7.6,5.0,110.0,4.0,E ,-0.0135381944444447
2020-08-14,25.2,27.5,27.7,81.0,6.5,5.0,90.0,4.0,3.1337480559875583,,0.0248548611111107
2020-08-15,25.6,30.0,27.4,82.0,0.0,9.4,7.0,140.0,4.0,SE,0.0033903949804208
2020-08-16,25.8,29.8,27.0,79.0,0.0,10.1,7.0,130.0,4.0,SE,-0.0401494944019529
2020-08-17,25.8,29.5,27.0,82.0,0.0,10.5,6.0,140.0,4.0,SE,-0.0572520833333336
2020-08-18,25.8,29.8,26.8,83.0,0.0,10.4,7.0,130.0,4.0,SE,-0.0793888888888892
2020-08-19,25.0,29.2,26.9,75.0,9.1,6.0,140.0,5.0,3.1337480559875583,,-0.0924013888888892
2020-08-20,25.3,29.2,26.7,79.0,0.0,10.3,6.0,130.0,4.0,SE,-0.0666145833333336
2020-08-21,25.4,29.5,26.9,80.0,0.0,9.5,6.0,120.0,4.0,SE,-0.0680617751037072
2020-08-22,23.0,29.4,25.5,84.0,0.0,10.8,6.0,120.0,4.0,SE,-0.0716006944444447
2020-08-23,23.0,29.5,26.9,80.0,0.0,10.9,6.0,130.0,3.0,SE,0.0091097222222218
2020-08-24,25.2,26.8,27.7,81.0,10.9,6.0,130.0,3.0,3.1337480559875583,,-0.0115854166666669
2020-08-25,25.6,29.8,27.0,80.0,9.5,6.0,130.0,4.0,3.1337480559875583,,-0.0049243055555558
2020-08-26,25.8,29.4,26.9,78.0,0.0,10.4,6.0,130.0,5.0,SE,-0.0507812500000003
2020-08-27,25.6,29.7,26.9,79.0,10.1,6.0,130.0,4.0,3.1337480559875583,,-0.0740111111111114
